address,bstory_cnt,old,lat,lon,in_flood_area,flood_point_count,height(m),ground_nof,struc,1f_flo,flood_risk_score,flood_risk_level,cluster
서울특별시 강남구 역삼동 791-19번지,1,28,37.4940456,127.0383796,1,4261,12.4,4,6,3.4100000000000006,35.696329813976874,2,1.0
서울특별시 강남구 역삼동 791-20번지,0,23,37.49407739999999,127.0385279,1,4244,13.35,5,6,2.9370000000000003,35.55387967152673,2,0.0
서울특별시 강남구 역삼동 742-14번지,1,9,37.4962599,127.0347199,1,4725,13.4,5,6,2.9480000000000004,39.58438076085135,2,0.0
서울특별시 강남구 역삼동 742-15번지,0,18,37.4962346,127.0346358,1,4726,8.53,2,4,4.6915,39.59276018099548,2,0.0
서울특별시 강남구 역삼동 742-16번지,1,1,37.4962021,127.0345293,1,4735,20.75,5,6,4.565,39.66817496229261,2,0.0
서울특별시 강남구 역삼동 742-18번지,1,21,37.496124,127.0342731,1,4743,15.65,5,6,3.443,39.73521032344562,2,1.0
서울특별시 강남구 역삼동 742-19번지,1,37,37.4959474,127.034409,1,4694,0.0,2,2,0.0,39.32461873638344,2,4.0
서울특별시 강남구 역삼동 742-19번지,1,37,37.4959474,127.034409,1,4694,0.0,2,2,0.0,39.32461873638344,2,4.0
서울특별시 강남구 역삼동 742-20번지,0,4,37.4958439,127.0342844,1,4682,15.85,5,6,3.487,39.22406569465393,2,0.0
서울특별시 강남구 역삼동 742-21번지,1,17,37.4960155,127.0341415,1,4735,25.1,7,6,3.944285714285715,39.66817496229261,2,0.0
서울특별시 강남구 역삼동 742-22번지,2,24,37.4959595,127.033826,1,4755,17.75,6,4,3.254166666666667,39.83576336517513,2,1.0
서울특별시 강남구 역삼동 742-24번지,1,39,37.4958471,127.0340019,1,4712,0.0,2,2,0.0,39.47544829897771,2,4.0
서울특별시 강남구 역삼동 742-25번지,0,23,37.4957534,127.0341403,1,4678,11.6,4,6,3.19,39.19054801407743,2,0.0
서울특별시 강남구 역삼동 752-36번지,1,1,37.4948164,127.0339246,1,4553,22.9,5,6,5.038,38.14312049606167,2,0.0
서울특별시 강남구 역삼동 752-37번지,0,20,37.4947276,127.0338503,1,4544,9.0,3,6,3.3000000000000003,38.067705714764536,2,0.0
서울특별시 강남구 역삼동 696-41번지,1,21,37.5058307,127.0478164,1,435,13.0,5,6,2.8600000000000003,3.636668342550696,1,1.0
서울특별시 강남구 역삼동 696-42번지,2,21,37.5056643,127.0479211,1,430,21.4,6,6,3.923333333333333,3.594771241830066,1,1.0
서울특별시 강남구 역삼동 704-53번지,1,38,37.5047444,127.0461741,1,856,12.95,4,6,3.56125,7.164404223227752,1,1.0
서울특별시 강남구 역삼동 704-54번지,1,34,37.5047412,127.0460345,1,885,16.25,5,6,3.575,7.4074074074074066,1,1.0
서울특별시 강남구 역삼동 704-55번지,1,34,37.5047012,127.0459198,1,909,0.0,6,6,0.0,7.608513490866432,1,2.0
서울특별시 강남구 역삼동 704-60번지,0,22,37.5049685,127.0458372,1,886,14.07,5,6,3.0954,7.415786827551534,1,0.0
서울특별시 강남구 역삼동 704-62번지,1,39,37.5048227,127.0458093,1,911,0.0,2,2,0.0,7.625272331154684,1,4.0
서울특별시 강남구 역삼동 704-63번지,0,23,37.5048795,127.0456795,1,936,14.45,5,6,3.179,7.834757834757834,1,0.0
서울특별시 강남구 역삼동 704-64번지,0,23,37.5049498,127.0455388,1,944,16.45,5,6,3.619,7.901793195910843,1,0.0
서울특별시 강남구 역삼동 704-68번지,0,12,37.5050071,127.0453537,1,976,12.1,4,6,3.3275,8.169934640522875,1,0.0
서울특별시 강남구 역삼동 705번지,2,22,37.5047612,127.0469874,1,676,26.77,8,6,3.680875,5.656108597285068,1,1.0
서울특별시 강남구 역삼동 705-1번지,6,33,37.50457979999999,127.0470626,1,677,0.0,17,6,0.0,5.6644880174291945,1,3.0
서울특별시 강남구 역삼동 705-5번지,2,22,37.5047953,127.0471829,1,637,33.7,10,6,3.707,5.3293112116641534,1,3.0
서울특별시 강남구 역삼동 667-9번지,0,25,37.5043151,127.0359608,1,4034,12.2,5,6,2.684,33.79420144126026,2,1.0
서울특별시 강남구 역삼동 667-10번지,1,36,37.50420039999999,127.0360747,1,4041,15.5,4,6,4.2625,33.85285738226915,2,1.0
서울특별시 강남구 역삼동 667-12번지,1,43,37.5039614,127.0358186,1,4180,13.8,4,6,3.795,35.01759678230266,2,1.0
서울특별시 강남구 역삼동 667-13번지,1,35,37.5040578,127.0361417,1,4092,20.75,6,6,3.804166666666667,34.280207809619576,2,1.0
서울특별시 강남구 역삼동 667-14번지,2,41,37.5039151,127.0362087,1,4161,14.65,4,6,4.0287500000000005,34.85838779956427,2,1.0
서울특별시 강남구 역삼동 667-15번지,1,39,37.5038188,127.0358856,1,4243,16.5,5,6,3.63,35.545500251382606,2,1.0
서울특별시 강남구 역삼동 667-16번지,3,35,37.5036593,127.0359029,1,4367,20.8,5,6,4.5760000000000005,36.58454834925424,2,1.0
서울특별시 강남구 역삼동 667-17번지,1,23,37.5037241,127.03612,1,4290,18.95,5,6,4.1690000000000005,35.93933299815652,2,1.0
서울특별시 강남구 역삼동 667-18번지,1,37,37.5037879,127.0363296,1,4233,0.0,6,6,0.0,35.46170604994134,2,2.0
서울특별시 강남구 역삼동 677-22번지,2,40,37.5024756,127.0396221,1,3647,0.0,5,6,0.0,30.55136584548349,2,2.0
서울특별시 강남구 역삼동 677-23번지,7,5,37.5022763,127.039673,1,3677,89.54,19,5,5.183894736842107,30.80274844980727,2,3.0
서울특별시 강남구 역삼동 677-24번지,1,47,37.5023615,127.0399484,1,3581,0.0,4,6,0.0,29.998324115971176,2,2.0
서울특별시 강남구 역삼동 677-25번지,7,32,37.5023658,127.0407171,1,3203,84.15,21,5,4.407857142857143,26.83090330149154,2,3.0
서울특별시 강남구 역삼동 629-10번지,1,41,37.5030611,127.0337718,1,4814,0.0,2,2,0.0,40.33014915367857,3,4.0
서울특별시 강남구 역삼동 641-18번지,3,22,37.5027556,127.0352544,1,4798,19.3,6,6,3.5383333333333336,40.19607843137255,3,1.0
서울특별시 강남구 역삼동 641-20번지,2,17,37.5022359,127.0359723,1,5044,27.3,7,6,4.29,42.25741578682755,3,1.0
서울특별시 강남구 역삼동 642번지,7,13,37.501255,127.0354559,1,5493,69.5,21,6,3.6404761904761904,46.01977543154014,3,3.0
서울특별시 강남구 역삼동 642-1번지,6,24,37.5016367,127.0356339,1,5369,60.32,20,6,3.3176,44.98072733366851,3,3.0
서울특별시 강남구 역삼동 642-2번지,1,22,37.5013964,127.0357924,1,5438,29.8,10,6,3.278,45.558907323613205,3,1.0
서울특별시 강남구 역삼동 642-3번지,1,14,37.5012886,127.0359271,1,5455,33.95,10,6,3.7345000000000006,45.70135746606335,3,0.0
서울특별시 강남구 역삼동 642-4번지,1,32,37.50123689999999,127.0357543,1,5486,17.0,5,6,3.74,45.96111949053125,3,1.0
서울특별시 강남구 역삼동 642-5번지,1,35,37.5018798,127.0358901,1,5226,26.21,8,6,3.603875,43.78247025305848,3,1.0
서울특별시 강남구 역삼동 642-6번지,6,32,37.5016945,127.0359771,1,5312,71.2,20,5,3.916,44.50310038545332,3,3.0
서울특별시 강남구 역삼동 642-9번지,6,26,37.5012723,127.0361804,1,5438,74.85,20,5,4.11675,45.558907323613205,3,3.0
서울특별시 강남구 역삼동 642-10번지,4,24,37.5019265,127.0360849,1,5184,43.15,11,5,4.315,43.43053460700519,3,3.0
서울특별시 강남구 역삼동 642-16번지,6,31,37.5009488,127.0355183,1,5553,76.5,21,5,4.007142857142857,46.5225406401877,3,3.0
서울특별시 강남구 역삼동 660-25번지,1,23,37.5059471,127.037187,1,3316,12.95,4,6,3.56125,27.77777777777778,2,1.0
서울특별시 강남구 역삼동 660-26번지,1,24,37.5058079,127.0372534,1,3254,16.35,5,6,3.597000000000001,27.258253728841964,2,1.0
서울특별시 강남구 역삼동 660-27번지,2,6,37.5056536,127.0373243,1,3152,15.8,4,6,4.345000000000001,26.403552874141116,2,0.0
서울특별시 강남구 역삼동 660-28번지,1,23,37.506018,127.0374261,1,3189,14.6,5,6,3.212,26.71359141947377,2,1.0
서울특별시 강남구 역삼동 660-29번지,1,24,37.505876,127.0374922,1,3119,11.5,3,6,4.216666666666667,26.127032009384948,2,1.0
서울특별시 강남구 역삼동 660-30번지,0,24,37.5057231,127.037564,1,3048,12.1,4,6,3.3275,25.532093179152003,2,0.0
서울특별시 강남구 역삼동 660-31번지,1,24,37.5060742,127.0376184,1,3102,12.0,4,6,3.3000000000000003,25.984581866934807,2,1.0
서울특별시 강남구 역삼동 660-32번지,1,23,37.505933,127.0376862,1,3056,10.3,3,6,3.7766666666666673,25.59912854030501,2,1.0
서울특별시 강남구 역삼동 660-33번지,1,23,37.505781,127.0377558,1,2990,10.8,3,6,3.96,25.04608681079269,2,1.0
서울특별시 강남구 역삼동 660-38번지,1,24,37.5054718,127.0360271,1,3927,13.1,4,6,3.6025,32.89760348583878,2,1.0
서울특별시 강남구 역삼동 671-32번지,1,10,37.5042441,127.0384032,1,3445,16.2,4,6,4.455,28.858722976370032,2,0.0
서울특별시 강남구 역삼동 671-34번지,1,42,37.504155,127.0382397,1,3496,0.0,2,2,0.0,29.286073403720465,2,4.0
서울특별시 강남구 역삼동 672번지,1,24,37.5045722,127.0385053,1,3179,13.95,4,6,3.83625,26.629797218032515,2,1.0
서울특별시 강남구 역삼동 622-19번지,1,32,37.5026838,127.0285652,1,4520,7.55,2,2,4.1525,37.86659963130551,2,4.0
