대지위치,세대수,가구수,노후화
서울특별시 강남구 삼성동 84-2,3,0,36
서울특별시 강남구 청담동 50-5,0,0,21
서울특별시 강남구 압구정동 455,112,0,48
서울특별시 강남구 논현동 219-31,0,5,24
서울특별시 강남구 개포동 1212-1,0,0,36
서울특별시 강남구 대치동 945-3,0,0,41
서울특별시 강남구 개포동 1228,0,0,33
서울특별시 강남구 삼성동 91-19,10,0,41
서울특별시 강남구 논현동 214-4,10,0,30
서울특별시 강남구 논현동 194-23,46,0,19
서울특별시 강남구 개포동 1202-5,8,0,22
서울특별시 강남구 논현동 177-14,13,0,23
서울특별시 강남구 도곡동 455-2,0,1,37
서울특별시 강남구 역삼동 750-5,0,9,30
서울특별시 강남구 역삼동 718-16,0,0,33
서울특별시 강남구 논현동 66-1,0,0,24
서울특별시 강남구 논현동 172-7,0,7,30
서울특별시 강남구 역삼동 609-1,0,0,30
서울특별시 강남구 도곡동 945-13,0,4,39
서울특별시 강남구 신사동 549-5,0,0,45
서울특별시 강남구 논현동 12-6,0,0,2
서울특별시 강남구 율현동 102-7,0,0,2
서울특별시 강남구 삼성동 119-12,0,0,2
서울특별시 강남구 신사동 608-4,18,0,42
서울특별시 강남구 역삼동 621-15,0,0,1
서울특별시 강남구 개포동 1202-1,10,0,33
서울특별시 강남구 삼성동 54-10,0,0,20
서울특별시 강남구 논현동 184-9,16,0,22
서울특별시 강남구 역삼동 808-5,0,0,14
서울특별시 강남구 논현동 165-8,0,0,15
서울특별시 강남구 신사동 655-5,0,0,29
서울특별시 강남구 신사동 624-12,0,0,25
서울특별시 강남구 도곡동 527,0,0,19
서울특별시 강남구 도곡동 527,63,0,19
서울특별시 강남구 대치동 511,112,0,42
서울특별시 강남구 삼성동 91-26,6,0,38
서울특별시 강남구 삼성동 170-4,0,0,36
서울특별시 강남구 수서동 718,0,0,21
서울특별시 강남구 대치동 894-1,0,0,45
서울특별시 강남구 청담동 105-1,0,1,47
서울특별시 강남구 논현동 257-15,0,0,1
서울특별시 강남구 압구정동 471,0,0,29
서울특별시 강남구 대치동 913-7,0,0,34
서울특별시 강남구 역삼동 750-2,0,1,41
서울특별시 강남구 대치동 1005,0,0,32
서울특별시 강남구 개포동 1230-9,0,0,39
서울특별시 강남구 수서동 450-2,0,0,39
서울특별시 강남구 논현동 154-23,0,0,37
서울특별시 강남구 대치동 915-11,0,9,31
서울특별시 강남구 논현동 265-6,0,1,48
서울특별시 강남구 대치동 889-51,0,0,20
서울특별시 강남구 일원동 656-3,0,1,38
서울특별시 강남구 대치동 645,0,0,45
서울특별시 강남구 역삼동 752-37,0,0,20
서울특별시 강남구 역삼동 775,0,0,35
서울특별시 강남구 신사동 642-18,0,0,48
서울특별시 강남구 논현동 8-13,0,0,37
서울특별시 강남구 역삼동 836-27,0,9,29
서울특별시 강남구 역삼동 755-4,64,0,20
서울특별시 강남구 삼성동 16-2,88,0,17
서울특별시 강남구 역삼동 625-20,0,0,1
서울특별시 강남구 역삼동 638-15,0,1,36
