대지위치,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률(%),구조,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),노후화,위도,경도
서울특별시 강남구 논현동 262-9번지,248.2,148.84,59.97,856.01,199.78,7,0,0,17.69,5,2,1,0,0,0.0,856.01,1,37.5119418,127.037431
서울특별시 강남구 논현동 262-10번지,248.2,144.54,58.24,537.9,164.2,7,0,9,10.4,3,1,0,0,0,0.0,537.9,28,37.5119801,127.0375601
서울특별시 강남구 논현동 262-11번지,356.2,208.11,58.43,659.6,151.54,7,0,10,0.0,3,1,0,0,0,0.0,659.6,28,37.512021,127.0377239
서울특별시 강남구 논현동 262-13번지,255.0,149.15,58.49,597.57,190.51,7,0,0,13.67,4,1,1,0,0,0.0,597.57,18,37.5116412,127.0371884
서울특별시 강남구 논현동 262-14번지,0.0,135.6,0.0,615.18,0.0,7,9,0,0.0,4,1,0,0,0,0.0,615.18,34,37.5116789,127.0373221
서울특별시 강남구 논현동 262-15번지,0.0,81.98,0.0,175.17,0.0,2,0,1,0.0,2,1,0,0,0,0.0,175.17,53,37.5117185,127.0374511
서울특별시 강남구 논현동 215-10번지,294.6,108.5,36.83,248.5,72.13,7,0,0,6.95,2,1,0,0,0,0.0,248.5,33,37.5127156,127.0318416
서울특별시 강남구 논현동 215-11번지,501.5,245.3,48.91,2019.37,249.98,7,0,0,20.81,6,2,1,0,0,0.0,2019.37,9,37.5128196,127.0320677
서울특별시 강남구 논현동 215-12번지,645.8,229.17,35.4862,2895.52,249.53,7,0,0,37.2,8,3,1,0,0,0.0,2895.52,12,37.5125441,127.0318227
서울특별시 강남구 논현동 215-14번지,497.0,243.99,49.09,1618.44,242.4,7,11,0,24.31,6,1,1,0,0,0.0,1618.44,22,37.5124715,127.0322748
서울특별시 강남구 논현동 215-15번지,494.9,296.41,59.89,1603.77,248.6,7,1,1,18.68,5,1,1,0,0,0.0,1603.77,22,37.5124579,127.0320769
서울특별시 강남구 논현동 215-17번지,67.5,335.63,49.72,2041.48,21.09,7,0,0,2.19,6,1,1,0,0,0.0,2041.48,30,37.5123391,127.0318538
서울특별시 강남구 논현동 216번지,1074.9,680.41,63.3,4168.97,288.32,7,0,0,0.0,7,2,2,0,0,0.0,4168.97,33,37.5121149,127.0321695
서울특별시 강남구 논현동 216-1번지,647.2,322.4,49.81,2128.21,252.41,7,17,0,17.25,6,1,1,0,0,0.0,2128.21,21,37.5121764,127.0323823
서울특별시 강남구 논현동 228-9번지,1296.5,665.36,51.32,4221.35,195.2,7,16,0,13.8,5,2,2,0,0,0.0,4221.35,22,37.5089626,127.0338244
