대지위치,지하층수,노후화,위도,경도,in_flood_area,flood_point_count,높이(m),지상층수,구조
서울특별시 강남구 개포동 1232-2번지,1,35,37.4777368,127.0474705,0,0,15.6,5,7
서울특별시 강남구 개포동 1232-3번지,1,34,37.4776396,127.0475713,0,0,19.25,6,7
서울특별시 강남구 역삼동 660-25번지,1,23,37.5059471,127.037187,1,3316,12.95,4,7
서울특별시 강남구 역삼동 660-26번지,1,24,37.5058079,127.0372534,1,3254,16.35,5,7
서울특별시 강남구 역삼동 660-27번지,2,6,37.5056536,127.0373243,1,3152,15.8,4,7
서울특별시 강남구 역삼동 660-28번지,1,23,37.506018,127.0374261,1,3189,14.6,5,7
서울특별시 강남구 역삼동 660-29번지,1,24,37.505876,127.0374922,1,3119,11.5,3,7
서울특별시 강남구 역삼동 660-30번지,0,24,37.5057231,127.037564,1,3048,12.1,4,7
서울특별시 강남구 역삼동 660-31번지,1,24,37.5060742,127.0376184,1,3102,12.0,4,7
서울특별시 강남구 역삼동 660-32번지,1,23,37.505933,127.0376862,1,3056,10.3,3,7
서울특별시 강남구 역삼동 660-33번지,1,23,37.505781,127.0377558,1,2990,10.8,3,7
서울특별시 강남구 역삼동 660-38번지,1,24,37.5054718,127.0360271,1,3927,13.1,4,7
서울특별시 강남구 역삼동 671-32번지,1,10,37.5042441,127.0384032,1,3445,16.2,4,7
서울특별시 강남구 역삼동 671-34번지,1,42,37.504155,127.0382397,1,3496,0.0,2,2
서울특별시 강남구 역삼동 672번지,1,24,37.5045722,127.0385053,1,3179,13.95,4,7
서울특별시 강남구 역삼동 622-19번지,1,32,37.5026838,127.0285652,1,4520,7.55,2,2
서울특별시 강남구 역삼동 622-20번지,2,25,37.5025942,127.0284098,1,4492,6.65,2,7
서울특별시 강남구 역삼동 635-15번지,1,45,37.500001,127.0292231,1,4609,0.0,2,2
서울특별시 강남구 역삼동 636번지,1,19,37.5013143,127.0312815,1,5175,27.5,10,7
서울특별시 강남구 역삼동 636-1번지,1,35,37.5010524,127.0312147,1,5211,13.9,5,7
